歌手名,次数
初音ミク,135
Martin Garrix,116
Avicii,98
Kygo,92
Hardwell,81
The Chainsmokers,65
ILLENIUM,65
PIKASONIC,53
BUNT.,51
DubVision,47
Don Diablo,45
Gryffin,44
Nicky Romero,44
Said The Sky,39
AIKA,38
Afrojack,38
Milkoi,36
Seven Lions,36
Julian Jordan,35
Matisse & Sadko,34
Mike Williams,34
Au5,33
Virtual Riot,32
Skrillex,31
A R I Z O N A,30
San Holo,30
Armin van Buuren,30
Chime,29
Kirara Magic,29
Porter Robinson,29
David Guetta,28
Thomas Rhett,27
Lucas & Steve,27
William Black,27
Cheat Codes,27
Last Heroes,26
MitiS,26
Revealed Recordings,26
Mesto,26
Skybreak,25
Sandro Cavazza,25
USAO,25
t+pazolite,25
Brooks,24
CHOMPO,24
Alan Walker,24
R3HAB,24
RUQOA,24
Nate Smith,24
かめりあ,23
Zedd,23
Tiësto,23
W&W,23
Coldplay,22
RetroVision,22
Nurko,22
Aiobahn,22
Dabin,22
可不,22
Alexander Nakarada,22
Justin Mylo,22
Manse,21
Madeon,21
Dean Lewis,21
Taylor Swift,21
Synthion,21
Calvin Harris,21
Marshmello,20
Soaring Records,20
Laur,20
Alesso,20
SLANDER,20
Blinders,20
Steerner,20
OneRepublic,19
Jason Ross,19
Tobu,19
PHONO RECORDS,19
Blanke,19
Galantis,19
SaMZIng,19
Lewis Capaldi,19
Yunomi,18
Mazare,18
重音テト,18
Crystal Skies,18
Teminite,18
Midnight Kids,18
Kobaryo,18
NOTD,18
Maddix,18
Aice room,18
TheFatRat,18
5 Seconds of Summer,18
Avicii unreleased,18
deadmau5,17
Trivecta,17
Vluarr,17
Mameyudoufu,17
ヨルシカ,17
Former Hero,17
ARMNHMR,17
Calum Scott,17
Jay Hardway,17
KOTONOHOUSE,16
Linney,16
Greazy Puzzy ****erz,16
SABAI,16
Syn Cole,16
Vicetone,16
Tollef,16
ななひら,15
Tatsunoshin,15
Mo Falk,15
Adam Doleac,15
Curbi,15
Bumpÿ,15
結束バンド,15
Frank Walker,15
HJLL,15
Nyarons,15
Headhunterz,15
Seth Hills,15
Subtronics,15
JimVirslox,14
Dia Frampton,14
Shiroi-Ice,14
Sub Zero Project,14
なこたんまる,14
Jonas Blue,14
Mike Perry,14
Julia Michaels,14
HALIENE,14
Lost Frequencies,14
Feint,14
Rameses B,14
Felix Jaehn,14
Otto Knows,14
SeeB,14
The Weeknd,14
Kotori,14
Culture Code,14
Ellie Goulding,14
PoppoOVO,13
KSHMR,13
Showtek,13
Elektronomia,13
Laura Brehm,13
Zonderling,13
Oliver Heldens,13
ROY KNOX,13
RUNN,13
Mestie,13
Nevve,13
ミツキヨ,13
Fred again..,13
EmoCosine,13
塞壬唱片-MSR,13
VSTx,13
Bonn,13
Salty Salt,13
Imagine Dragons,13
Sasha Alex Sloan,12
acloudyskye,12
Juggernaut.,12
Third Party,12
Xeuphoria,12
Swedish House Mafia,12
YOASOBI,12
Caslow,12
Yetep,12
Karra,12
Bossfight,12
Bassjackers,12
Micah Martin,12
*Luna,12
PLEEG,12
Eleganto,12
Hoang,12
Excision,12
Fairlane,12
Petey Martin,12
上海アリス幻樂団,12
七音阿卡莉,12
Mike Posner,12
Timmy Trumpet,11
JVKE,11
Chris James,11
Da Tweekaz,11
鏡音リン,11
NUZB,11
Jordan Grace,11
Scro,11
Jim Yosef,11
Bring Me the Horizon,11
Sam Feldt,11
Monika Santucci,11
33 Below,11
Ed Sheeran,11
ピノキオピー,11
YUKIYANAGI,11
Tokyo Machine,11
Philip Strand,11
Blasterjaxx,11
DJ Snake,11
Justin Bieber,11
jeonghyeon,11
clef,11
CAZZETTE,11
The 1975,11
平葵,11
TV Noise,11
水瀬いのり,11
Charlie Puth,10
D-Sturb,10
Sound Rush,10
P*Light,10
Kevin MacLeod,10
電音部,10
ヒバナ,10
Tungevaag,10
Ace Aura,10
Nytrix,10
VIVID,10
Gareth Emery,10
C418,10
nayuta,10
DJ Genki,10
Snail's House,10
Mwk,10
Wooli,10
Shaun Farrugia,10
ODESZA,10
RiTSUMUGo,10
Hyper Potions,10
Olly James,10
Donna Tella,10
WildVibes,10
Sharks,10
Florian Picasso,10
TAIGA,10
Onism.,10
HoneyComeBear,10
F-777,10
GhostDragon,10
Dirty Palm,10
Kosling,10
ARForest,10
Audien,10
苺りなはむ,9
TSAR,9
NEIMY,9
KITSUNE,9
Pegboard Nerds,9
Taishi,9
Sick Individuals,9
Jordan Shaw,9
はるまきごはん,9
Zoe Wees,9
StarlingEDM,9
Ava Max,9
STARLYTE,9
Axero,9
2088 RECORDS,9
Dirty Workz,9
Diviners,9
Man Cub,9
Walk off the Earth,9
OVSKY,9
Robbie Mendez,9
One Direction,9
ずっと真夜中でいいのに。,9
AXMO,9
Anyma,9
Wildstylez,9
YUC’e,9
Post Malone,9
Waterflame,9
3LAU,9
PRXZM,9
Rita Ora,9
Sebastian Ingrosso,9
MIMI,9
KASTRA,9
Infowler,9
Yasser,9
Carly Rae Jepsen,9
ナナツカゼ,8
Casey Cook,8
STRlighT,8
Luma,8
JJD,8
Alex Skrindo,8
Aloe Blacc,8
Virginia To Vegas,8
Kevin Graham,8
Jay Eskar,8
Hilarity Leap Records,8
Taisheng Music,8
rshand,8
Phuture Noize,8
The Midnight,8
Dual Damage,8
Xuan K17,8
Steve Aoki,8
Sander van Doorn,8
JT Roach,8
Bernis,8
UNTIT-LED,8
Eminem,8
Will Sparks,8
Fancy Floss,8
Selena Gomez,8
nuphory,8
bbno$,8
Deadly Guns,8
Afinity,8
Endless-Music,8
nanobii,8
HertzRecords,8
David Frank,8
Wisp X,8
あよ,8
MyGO!!!!!,8
Daya,8
Couple N,8
John Martin,8
Puppet,8
Bebe Rexha,8
Dastic,8
Dreweybear,7
Noah Kahan,7
KAAZE,7
たかやん,7
Crankdat,7
Fox Stevenson,7
Maia Wright,7
あたらよ,7
MYLK,7
CITY SOUNDS 城市聲音,7
Conro,7
BPM15Q,7
Russell Dickerson,7
Feenixpawl,7
Dimitri Vegas & Like Mike,7
Sarah De Warren,7
Katy Perry,7
Aversion,7
K-391,7
Matthew Koma,7
if found,7
Arcando,7
Sefa,7
AMIDY,7
Itro,7
Far Out,7
Pixel Terror,7
Diary Music,7
Nhato,7
RIOT,7
buckit 陈楒潼,7
Valerie Broussard,7
Hard Driver,7
Ferry Corsten,7
ArrAy-P,7
Maroon 5,7
DJ Noriken,7
Papa Khan,7
Ryos,7
鹿乃,7
MERYLL,7
RudeLies,7
Giuseppe Ottaviani,7
HUMAN,7
Neko Hacker,7
Beau Collins,7
St. Lundi,7
Deniz Koyu,7
しゃろう,7
Zac Brown Band,7
Paper Skies,7
v flower,7
Veela,7
雨宮天,7
Eliminate,7
Elliot Hsu,7
GUMI,7
Clean Bandit,7
Corey James,7
小野道ono,7
Danyka Nadeau,7
Robin Schulz,7
AREA21,7
Panda Eyes,7
SWACQ,7
Georgia Ku,7
Skytech,7
DECO*27,7
Rentz,7
Declan J Donovan,7
P丸様｡,7
STVW,7
Cash Cash,7
Daft Punk,7
Bright Lights,7
Tom Frane,6
Lavern,6
やなぎなぎ,6
SadBois,6
Two Friends,6
HoneyWorks,6
かぴ,6
Zekk,6
Hoaprox,6
Ariana Grande,6
Above & Beyond,6
RJ Pasin,6
Dimitri Vangelis & Wyman,6
Travis Scott,6
Neil.,6
Eleven李德嘉,6
Quadrant Shield Music,6
Nevoit,6
まふまふ,6
IA,6
Ennex,6
ColBreakz,6
Clara Mae,6
森永真由美,6
Sub Focus,6
Vertile,6
Kohta Imafuku,6
Boxplot,6
MEDZ,6
William Ekh,6
Exede,6
Lights,6
Azuria Sky,6
Forester,6
Neyra,6
Tritonal,6
Bertie Scott,6
Chill Satellite,6
Bipolar Sunshine,6
Dash Berlin,6
aran,6
SOUNDR,6
Toby Fox,6
Loote,6
Khalid,6
Orange Purple,6
CADMIUM,6
ラックライフ,6
Aeden,6
Anderex,6
削除,6
Costa Music,6
Janieck,6
Stonebank,6
Danni Carra,6
EBIMAYO,6
Trella,6
Quintino,6
Moon Jelly,6
Dirtyphonics,6
Guy Arthur,6
DAZBEE,6
洛天依Official,6
Sineself,6
Geoxor,6
Billy Raffoul,6
Codeko,6
雨部冷キザミ,6
森羅万象,6
GRX,6
歌愛ユキ,6
The Living Tombstone,6
Pilton,6
DVBBS,6
Slushii,6
Sigala,6
V-SouL,6
Aviella,6
Project 46,6
Kevin Faltin,6
Flay!,6
Bad Computer,6
Haywood,6
Dagny,6
SaberZ,6
Suno.ai,6
ATB,6
Dylan Matthew,6
Mili,6
TCHAMI,6
HOYO-MiX,6
Martell,6
Shortround,6
Danny Olson,6
倚水,6
Elley Duhé,6
AJR,6
亚述,6
Doxed,6
Sam Smith,6
Justin Jesso,6
君名古河渚,6
Westlife,6
Ran-D,6
Aspyer,6
Owl City,6
JANEE,6
原口沙輔,5
Two Steps From Hell,5
Similar Outskirts,5
z²,5
Mutilator,5
Jeffrey Sutorius,5
Massive New Krew,5
Different Heaven,5
ずんだもん,5
Chenda,5
S3RL,5
D-Block & S-te-Fan,5
Frums,5
KDH,5
Blackcode,5
IVORY,5
Tenkitsune,5
Such,5
Jack Shore,5
Nitro Fun,5
MAISONdes,5
Orangestar,5
